word	freq	ascii
být	4041154	byt
se	3070434	se
na	1858775	na
ten	1761880	ten
že	956309	ze
on	948430	on
který	773264	ktery
mít	733737	mit
do	680884	do
ale	554280	ale
já	530636	ja
jako	435629	jako
moci	411217	moci
svůj	384921	svuj
za	381694	za
pro	378522	pro
tak	368646	tak
rok	358211	rok
co	353746	co
po	334593	po
oni	323968	oni
když	309532	kdyz
tento	298372	tento
jak	287760	jak
už	286664	uz
všechen	284427	vsechen
od	249905	od
aby	247306	aby
nebo	246020	nebo
jeho	239258	jeho
jen	228470	jen
jeden	211786	jeden
člověk	203672	clovek
muset	200281	muset
velký	190583	velky
chtít	189726	chtit
jenž	187111	jenz
my	186837	my
stát	182595	stat
říci	180554	rici
až	174873	az
než	172685	nez
pak	166743	pak
ještě	163394	jeste
jít	160592	jit
při	154025	pri
vědět	151666	vedet
také	148856	take
dva	147469	dva
ani	147231	ani
další	145752	dalsi
před	144669	pred
nový	137369	novy
vy	135355	vy
celý	133632	cely
hodně	127311	hodne
její	124310	jeji
jiný	124093	jiny
můj	123283	muj
první	121389	prvni
jejich	121159	jejich
podle	117867	podle
dobrý	116260	dobry
mezi	115983	mezi
kde	115178	kde
však	114630	vsak
ty	114604	ty
místo	114011	misto
tam	112859	tam
dát	112483	dat
náš	112230	nas
den	111698	den
každý	110531	kazdy
něco	108136	neco
doba	107892	doba
druhý	106958	druhy
protože	106244	protoze
dítě	104502	dite
ne	100707	ne
takový	100464	takovy
říkat	99281	rikat
vidět	99144	videt
nic	98851	nic
začít	98541	zacit
český	97173	cesky
život	96684	zivot
malý	94822	maly
či	94757	ci
bez	91859	bez
ruka	89585	ruka
nějaký	88110	nejaky
sám	86596	sam
kdy	86548	kdy
teď	85867	ted
pokud	85077	pokud
dobře	83875	dobre
dostat	82718	dostat
myslet	82101	myslet
tedy	81455	tedy
práce	81259	prace
pod	81035	pod
svět	79924	svet
strana	79752	strana
přijít	79062	prijit
vysoký	78278	vysoky
například	78053	napriklad
země	77065	zeme
proto	76965	proto
tenhle	76601	tenhle
tři	76234	tri
čas	75824	cas
dělat	75435	delat
žena	75288	zena
žádný	75270	zadny
muž	74006	muz
případ	72868	pripad
třeba	72841	treba
rád	72644	rad
kdo	72640	kdo
hlava	72019	hlava
několik	71351	nekolik
velmi	71276	velmi
starý	71007	stary
oko	70765	oko
nad	70418	nad
město	70217	mesto
poslední	70054	posledni
cesta	68524	cesta
právě	68132	prave
tu	67016	tu
některý	67014	nektery
asi	66515	asi
jaký	65880	jaky
přes	64369	pres
dům	64351	dum
věc	63905	vec
voda	62470	voda
společnost	61405	spolecnost
najít	61192	najit
nikdy	60904	nikdy
brzy	60666	brzy
již	60646	jiz
část	60556	cast
což	60253	coz
udělat	59978	udelat
vlastní	59575	vlastni
dokázat	58763	dokazat
chvíle	58411	chvile
systém	58221	system
stejně	57966	stejne
moc	57920	moc
kdyby	57757	kdyby
proč	56925	proc
hodina	56731	hodina
kolem	56182	kolem
takže	55889	takze
často	55887	casto
dnes	55693	dnes
tady	55318	tady
slovo	55271	slovo
lze	54861	lze
nechat	54763	nechat
problém	54413	problem
někdo	54194	nekdo
oba	54132	oba
vůbec	53677	vubec
cena	52374	cena
možný	52345	mozny
proti	52209	proti
možná	52109	mozna
stále	50736	stale
řada	50673	rada
škola	50440	skola
konec	50400	konec
pouze	49963	pouze
hrát	49523	hrat
jestli	49324	jestli
nikdo	49258	nikdo
firma	49091	firma
mladý	48861	mlady
totiž	48576	totiz
různý	48496	ruzny
čekat	48364	cekat
mluvit	48129	mluvit
málo	48077	malo
dlouhý	47256	dlouhy
váš	46326	vas
jediný	46214	jediny
vrátit	46124	vratit
zase	46062	zase
snažit	45875	snazit
vypadat	45518	vypadat
koruna	45414	koruna
pohled	44919	pohled
vzít	44906	vzit
dokonce	44823	dokonce
patřit	44690	patrit
spíš	44426	spis
způsob	44145	zpusob
hlavní	43517	hlavni
zůstat	43402	zustat
dveře	43278	dvere
možnost	43136	moznost
vést	43008	vest
pár	42750	par
oblast	42029	oblast
potřebovat	41655	potrebovat
stejný	41485	stejny
znát	41291	znat
milión	41187	milion
pozdě	41077	pozde
důležitý	40915	dulezity
žít	40741	zit
trochu	40701	trochu
nakonec	40664	nakonec
taky	40633	taky
peníze	40591	penize
tělo	40392	telo
daleko	40251	daleko
situace	40243	situace
tisíc	39933	tisic
otázka	39906	otazka
kniha	39601	kniha
kvůli	39598	kvuli
skupina	39564	skupina
navíc	39373	navic
znovu	39368	znovu
ano	39325	ano
cítit	39313	citit
ovšem	39207	ovsem
mnoho	38946	mnoho
dojít	38830	dojit
jednou	38746	jednou
otec	38292	otec
rodina	38264	rodina
ostatní	38195	ostatni
měsíc	38135	mesic
jenom	38061	jenom
známý	38026	znamy
čtyři	37540	ctyri
především	37306	predevsim
získat	37174	ziskat
matka	37052	matka
hned	36796	hned
během	36697	behem
změna	36646	zmena
dále	36636	dale
týden	36562	tyden
projekt	36411	projekt
jméno	36354	jmeno
znamenat	36313	znamenat
pracovat	36208	pracovat
dlouho	36121	dlouho
zde	36102	zde
snad	35843	snad
auto	35825	auto
tvář	35506	tvar
li	35422	li
přece	35356	prece
zeptat	35231	zeptat
výsledek	35064	vysledek
většina	34971	vetsina
díky	34967	diky
někdy	34947	nekdy
úplně	34899	uplne
příliš	34794	prilis
slyšet	34776	slyset
pět	34657	pet
rychle	34603	rychle
nyní	34516	nyni
téměř	34386	temer
podívat	34360	podivat
noc	33773	noc
síla	33722	sila
vztah	33700	vztah
dost	33669	dost
noha	33657	noha
program	33628	program
samozřejmě	33615	samozrejme
sice	33562	sice
rozhodnout	33392	rozhodnout
vlastně	33315	vlastne
hlas	33253	hlas
důvod	33085	duvod
hra	33062	hra
opravdu	32911	opravdu
film	32902	film
minuta	32881	minuta
pořád	32858	porad
informace	32454	informace
nejen	32453	nejen
objevit	32215	objevit
prostor	32164	prostor
pravda	32056	pravda
přitom	32041	pritom
ukázat	32009	ukazat
služba	31906	sluzba
existovat	31784	existovat
vždy	31640	vzdy
evropský	31601	evropsky
uvést	31569	uvest
sedět	31455	sedet
zcela	31453	zcela
přímo	31371	primo
druh	31269	druh
století	31269	stoleti
jistý	31174	jisty
základní	31116	zakladni
stačit	31096	stacit
kromě	31069	krome
pomoci	31045	pomoci
potom	30701	potom
bílý	30684	bily
tehdy	30632	tehdy
jinak	30630	jinak
plný	30597	plny
špatný	30439	spatny
vždycky	30404	vzdycky
podobný	30322	podobny
procento	30315	procento
chodit	30069	chodit
ať	30020	at
zdát	29944	zdat
zákon	29873	zakon
ulice	29868	ulice
typ	29837	typ
hodnota	29678	hodnota
pocit	29584	pocit
stav	29483	stav
večer	29253	vecer
černý	29172	cerny
dávat	29055	davat
okno	29042	okno
věřit	29028	verit
právo	28959	pravo
počet	28936	pocet
směr	28895	smer
zatím	28846	zatim
zatímco	28598	zatimco
platit	28524	platit
otevřít	28519	otevrit
spolu	28457	spolu
smrt	28303	smrt
stůl	28222	stul
opět	28118	opet
pán	28110	pan
světlo	28079	svetlo
tým	27975	tym
vláda	27847	vlada
zájem	27839	zajem
silný	27748	silny
vedle	27684	vedle
prostě	27666	proste
přesně	27612	presne
trh	27498	trh
hlavně	27496	hlavne
kraj	27488	kraj
jednotlivý	27238	jednotlivy
současný	27051	soucasny
bod	26913	bod
jednat	26821	jednat
podmínka	26662	podminka
zjistit	26639	zjistit
lidský	26519	lidsky
tvůj	26501	tvuj
pan	26474	pan
zda	26444	zda
zápas	26402	zapas
zejména	26376	zejmena
potřeba	26305	potreba
těžký	26301	tezky
změnit	26271	zmenit
deset	26258	deset
psát	26193	psat
určitě	26184	urcite
pokračovat	26150	pokracovat
no	26138	no
jet	26042	jet
prostředí	26010	prostredi
držet	26001	drzet
umět	25977	umet
nízký	25944	nizky
hledat	25907	hledat
zároveň	25824	zaroven
válka	25822	valka
cíl	25812	cil
představovat	25796	predstavovat
dívat	25791	divat
určitý	25742	urcity
naopak	25650	naopak
pokoj	25481	pokoj
více	25454	vice
skončit	25411	skoncit
rodič	25229	rodic
používat	25132	pouzivat
jasný	25114	jasny
osoba	25018	osoba
řešení	24960	reseni
domácí	24906	domaci
barva	24849	barva
začínat	24730	zacinat
funkce	24697	funkce
považovat	24685	povazovat
stavba	24658	stavba
jenže	24647	jenze
základ	24599	zaklad
podařit	24589	podarit
přesto	24557	presto
působit	24286	pusobit
číslo	24206	cislo
smysl	24198	smysl
role	24188	role
skutečnost	24078	skutecnost
rozdíl	24039	rozdil
zpráva	24023	zprava
odpovědět	23984	odpovedet
zdroj	23959	zdroj
představit	23950	predstavit
nabízet	23937	nabizet
ráno	23877	rano
energie	23825	energie
krok	23776	krok
sociální	23763	socialni
vyjít	23753	vyjit
ležet	23743	lezet
prý	23734	pry
brát	23648	brat
kolo	23621	kolo
doma	23614	doma
třetí	23599	treti
státní	23561	statni
americký	23520	americky
centrum	23492	centrum
paní	23435	pani
sledovat	23421	sledovat
připravit	23304	pripravit
začátek	23304	zacatek
člen	23269	clen
vhodný	23221	vhodny
akce	23053	akce
kam	23047	kam
růst	23033	rust
tolik	23002	tolik
krásný	22998	krasny
byt	22911	byt
